arm,seed_slot,valid_cases,empty_cases,group_macro_rho2_bias
event_sample_then_full_history,0,32,0,0.1494030035567562
event_sample_then_full_history,1,32,0,0.1428915245476287
event_sample_then_full_history,2,32,0,0.15216729210364327
event_sample_then_full_history,3,32,0,0.15050355481100042
event_sample_then_full_history,4,32,0,0.15000052925412768
event_sample_then_full_history,5,32,0,0.15552851505856577
event_sample_then_full_history,6,32,0,0.15319715308324475
event_sample_then_full_history,7,32,0,0.15559316565678094
node_panel_full_history,0,32,0,-0.00648245307175686
node_panel_full_history,1,32,0,-0.0004687455305122217
node_panel_full_history,2,32,0,0.0020199647136168184
node_panel_full_history,3,32,0,-0.004244097859546487
node_panel_full_history,4,32,0,-0.010516853428483281
node_panel_full_history,5,32,0,-0.01049172594766671
node_panel_full_history,6,32,0,-0.0010290514765831486
node_panel_full_history,7,32,0,-0.011450130429988825
